topology,phase,query_usage_count,unique_query_count,total_query_uses
tp4pp1dp2moetp1ep8cp1,decode,1,6547,6547
tp4pp1dp2moetp1ep8cp1,decode,2,26824,53648
tp4pp1dp2moetp1ep8cp1,decode,3,3346,10038
tp4pp1dp2moetp1ep8cp1,decode,4,6121,24484
tp4pp1dp2moetp1ep8cp1,decode,5,247,1235
tp4pp1dp2moetp1ep8cp1,decode,6,2845,17070
tp4pp1dp2moetp1ep8cp1,decode,7,24,168
tp4pp1dp2moetp1ep8cp1,decode,8,7756,62048
tp4pp1dp2moetp1ep8cp1,decode,10,1232,12320
tp4pp1dp2moetp1ep8cp1,decode,12,25,300
tp4pp1dp2moetp1ep8cp1,decode,14,2359,33026
tp4pp1dp2moetp1ep8cp1,decode,16,170,2720
tp4pp1dp2moetp1ep8cp1,decode,18,173,3114
tp4pp1dp2moetp1ep8cp1,decode,20,184,3680
tp4pp1dp2moetp1ep8cp1,decode,22,63,1386
tp4pp1dp2moetp1ep8cp1,prefill,1,73,73
tp4pp1dp2moetp1ep8cp1,prefill,2,387,774
tp4pp1dp2moetp1ep8cp1,prefill,3,1,3
tp4pp1dp2moetp1ep8cp1,prefill,4,7,28
tp4pp1dp2moetp1ep8cp1,prefill,6,4,24
tp4pp1dp2moetp1ep8cp1,prefill,7,1,7
tp4pp1dp2moetp1ep8cp1,prefill,8,1,8
tp4pp1dp2moetp1ep8cp1,prefill,10,2,20
tp4pp1dp2moetp1ep8cp1,prefill,12,3,36
tp4pp1dp2moetp1ep8cp1,prefill,14,2,28
tp4pp1dp2moetp1ep8cp1,prefill,16,1,16
tp4pp1dp2moetp1ep8cp1,prefill,18,1,18
tp4pp1dp2moetp1ep8cp1,prefill,22,1,22
tp4pp1dp2moetp1ep8cp1,prefill,26,1,26
tp4pp1dp2moetp1ep8cp1,prefill,34,1,34
tp4pp1dp2moetp1ep8cp1,prefill,46,1,46
tp4pp1dp2moetp1ep8cp1,prefill,50,1,50
tp4pp1dp2moetp1ep8cp1,prefill,52,6,312
tp4pp1dp2moetp1ep8cp1,prefill,54,1,54
tp4pp1dp2moetp1ep8cp1,prefill,58,2,116
tp4pp1dp2moetp1ep8cp1,prefill,164,1,164
tp8pp1dp1moetp1ep8cp1,decode,1,34351,34351
tp8pp1dp1moetp1ep8cp1,decode,2,10040,20080
tp8pp1dp1moetp1ep8cp1,decode,3,4555,13665
tp8pp1dp1moetp1ep8cp1,decode,4,4737,18948
tp8pp1dp1moetp1ep8cp1,decode,5,2904,14520
tp8pp1dp1moetp1ep8cp1,decode,6,1274,7644
tp8pp1dp1moetp1ep8cp1,decode,7,848,5936
tp8pp1dp1moetp1ep8cp1,decode,8,83,664
tp8pp1dp1moetp1ep8cp1,decode,9,26,234
tp8pp1dp1moetp1ep8cp1,decode,10,15,150
tp8pp1dp1moetp1ep8cp1,prefill,1,728,728
tp8pp1dp1moetp1ep8cp1,prefill,2,31,62
tp8pp1dp1moetp1ep8cp1,prefill,3,5,15
tp8pp1dp1moetp1ep8cp1,prefill,4,4,16
tp8pp1dp1moetp1ep8cp1,prefill,5,1,5
tp8pp1dp1moetp1ep8cp1,prefill,6,5,30
tp8pp1dp1moetp1ep8cp1,prefill,7,5,35
tp8pp1dp1moetp1ep8cp1,prefill,8,2,16
tp8pp1dp1moetp1ep8cp1,prefill,9,2,18
tp8pp1dp1moetp1ep8cp1,prefill,11,1,11
tp8pp1dp1moetp1ep8cp1,prefill,12,1,12
tp8pp1dp1moetp1ep8cp1,prefill,13,1,13
tp8pp1dp1moetp1ep8cp1,prefill,16,4,64
tp8pp1dp1moetp1ep8cp1,prefill,22,7,154
tp8pp1dp1moetp1ep8cp1,prefill,23,1,23
tp8pp1dp1moetp1ep8cp1,prefill,28,1,28
tp8pp1dp1moetp1ep8cp1,prefill,38,1,38
tp8pp1dp1moetp1ep8cp1,prefill,40,1,40
tp8pp1dp1moetp1ep8cp1,prefill,86,1,86
